publicationcode,publicationUrl
us/DAD,daisy-and-donald
us/DD,donald-duck
us/DD,donald-duck-2009
us/DD,walt-disneys-donald-duck-and-friends
us/DDA,walt-disneys-donald-duck-adventures
us/DDA,walt-disneys-donald-duck-adventures-1993
us/DDAD,walt-disneys-donald-duck-adventures-1990
us/DT,disneys-ducktales
us/GA,goofy-adventures
us/MM,mickey-mouse
us/MM,mickey-mouse-1962
us/MM,mickey-mouse-1986
us/MMA,mickey-mouse-adventures
us/US,uncle-scrooge
us/US,uncle-scrooge-1963
us/US,uncle-scrooge-2009
us/US,walt-disneys-uncle-scrooge
us/US,walt-disneys-uncle-scrooge-1990
us/US,walt-disneys-uncle-scrooge-2003
us/USA,walt-disneys-uncle-scrooge-adventures
us/USA,walt-disneys-uncle-scrooge-adventures-1993
us/WDC,walt-disneys-comics-and-stories
us/WDC,walt-disneys-comics-and-stories-1962
us/WDC,walt-disneys-comics-and-stories-1986
us/WDC,walt-disneys-comics-and-stories-2009
us/WDC,walt-disneys-comics-and-stories-2015
us/WDCD,walt-disney-comics-digest
us/WDS,walt-disney-showcase
